sim 	ve 	vg 	re 	rg 	x 	vx 	vd 	vi 	ce1 	cd1 	ce2 	cd2 	cb2 	bmvar 
1	1.000	1.200	0.990	0.500	5.000	0.000	0.010	0.041	-27.930	38.312	-0.085	0.522	-0.019	25.696
2	1.000	1.200	0.990	0.900	5.000	0.000	0.046	0.051	-28.947	46.931	-0.104	0.875	-0.018	25.842
3	1.000	1.200	0.980	0.500	5.000	0.000	0.006	0.032	-18.295	25.060	-0.064	0.502	-0.029	17.338
4	1.000	1.200	0.980	0.900	5.000	0.000	0.023	0.039	-18.808	30.806	-0.079	0.854	-0.028	17.489
5	1.000	0.800	0.990	0.500	5.000	0.000	0.000	0.000	-21.889	35.351	-0.000	0.482	-0.015	25.373
6	1.000	0.800	0.990	0.900	5.000	0.000	0.000	0.000	-21.889	46.296	0.000	0.868	-0.015	25.435
7	1.000	0.800	0.980	0.500	5.000	0.000	0.000	0.000	-14.470	23.224	-0.000	0.474	-0.023	17.080
8	1.000	0.800	0.980	0.900	5.000	0.000	0.000	0.000	-14.470	30.459	0.000	0.853	-0.023	17.172
9	1.000	1.000	0.990	0.500	5.000	0.000	0.000	0.000	-24.626	36.692	-0.000	0.480	-0.019	25.632
10	1.000	1.000	0.990	0.900	5.000	0.000	0.000	0.000	-24.626	46.542	-0.000	0.865	-0.019	25.709
11	1.000	1.000	0.980	0.500	5.000	0.000	0.000	0.000	-16.279	24.092	-0.000	0.471	-0.028	17.288
12	1.000	1.000	0.980	0.900	5.000	0.000	0.000	0.000	-16.279	30.604	-0.000	0.848	-0.028	17.401
13	1.000	1.100	0.990	0.500	5.000	0.000	0.001	0.015	-26.185	37.456	-0.029	0.495	-0.020	25.662
14	1.000	1.100	0.990	0.900	5.000	0.000	0.006	0.018	-26.574	46.718	-0.037	0.868	-0.019	25.755
15	1.000	1.100	0.980	0.500	5.000	0.000	0.000	0.004	-17.128	24.500	-0.009	0.474	-0.030	17.319
16	1.000	1.100	0.980	0.900	5.000	0.000	0.000	0.005	-17.204	30.678	-0.011	0.847	-0.030	17.444
17	1.000	1.400	0.990	0.500	5.000	0.000	0.045	0.082	-30.760	39.698	-0.174	0.567	-0.017	25.800
18	1.000	1.400	0.990	0.900	5.000	0.000	0.200	0.101	-32.544	47.255	-0.207	0.886	-0.016	26.089
19	1.000	1.400	0.980	0.500	5.000	0.000	0.034	0.074	-20.191	25.970	-0.155	0.546	-0.026	17.395
20	1.000	1.400	0.980	0.900	5.000	0.000	0.137	0.090	-21.251	31.001	-0.186	0.865	-0.025	17.621
21	1.000	1.600	0.990	0.500	5.000	0.000	0.094	0.112	-32.946	40.769	-0.244	0.602	-0.016	25.937
22	1.000	1.600	0.990	0.900	5.000	0.000	0.403	0.136	-35.143	47.489	-0.284	0.894	-0.015	26.360
23	1.000	1.600	0.980	0.500	5.000	0.000	0.078	0.105	-21.659	26.675	-0.227	0.582	-0.024	17.470
24	1.000	1.600	0.980	0.900	5.000	0.000	0.297	0.126	-23.022	31.143	-0.265	0.873	-0.023	17.764
25	1.000	1.800	0.990	0.500	5.000	0.000	0.149	0.136	-34.682	41.620	-0.300	0.630	-0.015	26.092
26	1.000	1.800	0.990	0.900	5.000	0.000	0.626	0.163	-37.104	47.665	-0.344	0.901	-0.014	26.619
27	1.000	1.800	0.980	0.500	5.000	0.000	0.128	0.128	-22.826	27.235	-0.284	0.610	-0.023	17.557
28	1.000	1.800	0.980	0.900	5.000	0.000	0.475	0.152	-24.362	31.250	-0.328	0.880	-0.022	17.898
29	1.000	2.000	0.990	0.500	5.000	0.000	0.209	0.155	-36.091	42.310	-0.346	0.653	-0.014	26.255
30	1.000	2.000	0.990	0.900	5.000	0.000	0.857	0.183	-38.634	47.803	-0.392	0.906	-0.013	26.852
31	1.000	2.000	0.980	0.500	5.000	0.000	0.183	0.147	-23.774	27.690	-0.331	0.633	-0.022	17.648
32	1.000	2.000	0.980	0.900	5.000	0.000	0.659	0.172	-25.408	31.334	-0.379	0.885	-0.021	18.015
33	1.000	3.000	0.990	0.500	5.000	0.000	0.515	0.212	-40.418	44.430	-0.493	0.726	-0.011	27.037
34	1.000	3.000	0.990	0.900	5.000	0.000	1.951	0.238	-42.981	48.194	-0.544	0.921	-0.011	27.624
35	1.000	3.000	0.980	0.500	5.000	0.000	0.464	0.203	-26.689	29.089	-0.481	0.707	-0.018	18.086
36	1.000	3.000	0.980	0.900	5.000	0.000	1.513	0.222	-28.373	31.571	-0.538	0.899	-0.019	18.373
37	1.000	1.200	0.990	0.500	15.000	0.000	0.010	0.041	-27.930	38.312	-0.085	0.522	-0.019	25.696
38	1.000	1.200	0.990	0.900	15.000	0.000	0.046	0.051	-28.947	46.931	-0.104	0.875	-0.018	25.842
39	1.000	1.200	0.980	0.500	15.000	0.000	0.006	0.032	-18.295	25.060	-0.064	0.502	-0.029	17.338
40	1.000	1.200	0.980	0.900	15.000	0.000	0.023	0.039	-18.808	30.806	-0.079	0.854	-0.028	17.489
41	1.000	0.800	0.990	0.500	15.000	0.000	0.000	0.000	-21.889	35.351	-0.000	0.482	-0.015	25.373
42	1.000	0.800	0.990	0.900	15.000	0.000	0.000	0.000	-21.889	46.296	0.000	0.868	-0.015	25.435
43	1.000	0.800	0.980	0.500	15.000	0.000	0.000	0.000	-14.470	23.224	-0.000	0.474	-0.023	17.080
44	1.000	0.800	0.980	0.900	15.000	0.000	0.000	0.000	-14.470	30.459	0.000	0.853	-0.023	17.172
45	1.000	1.000	0.990	0.500	15.000	0.000	0.000	0.000	-24.626	36.692	-0.000	0.480	-0.019	25.632
46	1.000	1.000	0.990	0.900	15.000	0.000	0.000	0.000	-24.626	46.542	-0.000	0.865	-0.019	25.709
